order_in_orders,order_status,order_purchase_timestamp,order_delivered_customer_date,order_in_items,itemid,price,order_in_payments,paymentid,payment_without_items
e5215415bb6f76fe3b7cb68103a0d1c0,canceled,2016-10-22 08:25:27,,,,,e5215415bb6f76fe3b7cb68103a0d1c0,e5215415bb6f76fe3b7cb68103a0d1c01,61.99
6f3772f092a98dfbb37265f3186ba374,canceled,2017-05-26 12:42:13,,,,,6f3772f092a98dfbb37265f3186ba374,6f3772f092a98dfbb37265f3186ba3741,46.28
ec88cd13421e27489ffc1f352247f3a4,canceled,2018-08-24 16:38:44,,,,,ec88cd13421e27489ffc1f352247f3a4,ec88cd13421e27489ffc1f352247f3a41,142.27
92fca7ed7b7df4695007bd7f227e3333,unavailable,2017-02-01 12:03:36,,,,,92fca7ed7b7df4695007bd7f227e3333,92fca7ed7b7df4695007bd7f227e33331,52.57
ee11405a850edd187af2fb6e1771bcdb,unavailable,2017-03-01 16:20:27,,,,,ee11405a850edd187af2fb6e1771bcdb,ee11405a850edd187af2fb6e1771bcdb1,157.94
53ec902459673efbbcb34dec981931d3,unavailable,2017-07-23 22:47:19,,,,,53ec902459673efbbcb34dec981931d3,53ec902459673efbbcb34dec981931d31,61.11
6c4e764954bc530adac8b0842d8f1647,unavailable,2017-08-12 14:18:34,,,,,6c4e764954bc530adac8b0842d8f1647,6c4e764954bc530adac8b0842d8f16471,27.01
3cd41dc7c9fceb7de4fb0e9983a4b1ed,unavailable,2017-10-10 23:49:13,,,,,3cd41dc7c9fceb7de4fb0e9983a4b1ed,3cd41dc7c9fceb7de4fb0e9983a4b1ed1,208.8
7b862ac7558f536ca1c6f388f21d22d5,unavailable,2017-10-06 21:30:34,,,,,7b862ac7558f536ca1c6f388f21d22d5,7b862ac7558f536ca1c6f388f21d22d51,69.73
82492ccd735c628d8a98d08d7ffbe501,unavailable,2017-10-18 18:21:48,,,,,82492ccd735c628d8a98d08d7ffbe501,82492ccd735c628d8a98d08d7ffbe5011,68.53
4317fe882d992cda2fb3d51baeb2751c,unavailable,2017-10-07 11:51:46,,,,,4317fe882d992cda2fb3d51baeb2751c,4317fe882d992cda2fb3d51baeb2751c1,9.49
4317fe882d992cda2fb3d51baeb2751c,unavailable,2017-10-07 11:51:46,,,,,4317fe882d992cda2fb3d51baeb2751c,4317fe882d992cda2fb3d51baeb2751c2,117.43
d49363a0cc2a1915a5a11f85ea08ea48,unavailable,2018-02-07 15:40:42,,,,,d49363a0cc2a1915a5a11f85ea08ea48,d49363a0cc2a1915a5a11f85ea08ea481,102.66
9710f97e7fb3ccd742ef8b5270d8d78f,unavailable,2018-07-23 12:57:36,,,,,9710f97e7fb3ccd742ef8b5270d8d78f,9710f97e7fb3ccd742ef8b5270d8d78f1,70.43
186d3cd768be1890d832106f914ba37c,canceled,2017-06-09 10:16:21,,,,,186d3cd768be1890d832106f914ba37c,186d3cd768be1890d832106f914ba37c1,53.01
1612081119e8f23745698ad3367cc14b,unavailable,2016-10-05 18:06:48,,,,,1612081119e8f23745698ad3367cc14b,1612081119e8f23745698ad3367cc14b1,117.48
fcdcf0cd9b77731f38b0c97a27038042,unavailable,2017-07-06 21:54:54,,,,,fcdcf0cd9b77731f38b0c97a27038042,fcdcf0cd9b77731f38b0c97a270380421,28.17
19bb130ea3cc2dab25b3bcf2097aa462,unavailable,2017-07-19 15:00:02,,,,,19bb130ea3cc2dab25b3bcf2097aa462,19bb130ea3cc2dab25b3bcf2097aa4621,358.94
a536059a071793ef05e7e63cbac9d50e,unavailable,2017-11-20 17:13:05,,,,,a536059a071793ef05e7e63cbac9d50e,a536059a071793ef05e7e63cbac9d50e1,248.8
85fc293d3e0bf416c547c15d991e096a,unavailable,2017-12-07 20:38:53,,,,,85fc293d3e0bf416c547c15d991e096a,85fc293d3e0bf416c547c15d991e096a1,516.32
8a20e2954602a0738f264299255fd5af,unavailable,2017-12-27 22:41:49,,,,,8a20e2954602a0738f264299255fd5af,8a20e2954602a0738f264299255fd5af1,46.78
50bb0c134ee3365dd06e13da6cda15fe,unavailable,2017-12-29 16:31:58,,,,,50bb0c134ee3365dd06e13da6cda15fe,50bb0c134ee3365dd06e13da6cda15fe1,23.57
50bb0c134ee3365dd06e13da6cda15fe,unavailable,2017-12-29 16:31:58,,,,,50bb0c134ee3365dd06e13da6cda15fe,50bb0c134ee3365dd06e13da6cda15fe2,234.43
534a0fbe91a806a1dc6bf09b497e3d6f,unavailable,2018-01-22 02:45:40,,,,,534a0fbe91a806a1dc6bf09b497e3d6f,534a0fbe91a806a1dc6bf09b497e3d6f1,158.3
75020ffff57f14ba95e2562980ae510f,unavailable,2017-09-19 17:40:29,,,,,75020ffff57f14ba95e2562980ae510f,75020ffff57f14ba95e2562980ae510f1,53.0
b6777988359768bf8f2390aa6d072be4,unavailable,2017-10-30 14:07:30,,,,,b6777988359768bf8f2390aa6d072be4,b6777988359768bf8f2390aa6d072be41,69.46
1c851b2d3587fe02888b58c64fbc1ab0,unavailable,2018-01-09 16:25:08,,,,,1c851b2d3587fe02888b58c64fbc1ab0,1c851b2d3587fe02888b58c64fbc1ab01,33.11
33e13c48e5883f2a3ae2269bf57650c7,unavailable,2017-12-22 12:41:34,,,,,33e13c48e5883f2a3ae2269bf57650c7,33e13c48e5883f2a3ae2269bf57650c71,839.97
20ff9b4b339b20ef47cfcda736a17a52,unavailable,2018-01-11 11:59:41,,,,,20ff9b4b339b20ef47cfcda736a17a52,20ff9b4b339b20ef47cfcda736a17a522,47.77
20ff9b4b339b20ef47cfcda736a17a52,unavailable,2018-01-11 11:59:41,,,,,20ff9b4b339b20ef47cfcda736a17a52,20ff9b4b339b20ef47cfcda736a17a521,210.15
bd443caeb1873dd616185acf5162d26c,unavailable,2018-03-21 09:23:07,,,,,bd443caeb1873dd616185acf5162d26c,bd443caeb1873dd616185acf5162d26c1,48.13
4c8b9947280829d0a8b7e81cc249b875,canceled,2018-08-09 14:54:47,,,,,4c8b9947280829d0a8b7e81cc249b875,4c8b9947280829d0a8b7e81cc249b8751,118.35
2663ce3526465b7ee9809428adabdc45,canceled,2018-08-30 13:07:46,,,,,2663ce3526465b7ee9809428adabdc45,2663ce3526465b7ee9809428adabdc451,71.61
8603de8fb5551ed7faf81d2a31b8bf0e,unavailable,2017-06-11 17:40:22,,,,,8603de8fb5551ed7faf81d2a31b8bf0e,8603de8fb5551ed7faf81d2a31b8bf0e1,603.4
e51a8e1d0f0a0cc6eae0b605b53cf9ed,unavailable,2017-06-04 21:37:58,,,,,e51a8e1d0f0a0cc6eae0b605b53cf9ed,e51a8e1d0f0a0cc6eae0b605b53cf9ed1,131.01
